,id,datetime,top_class_name,front_class_name,lane_id,ANPR_frames_process,Processed,Raw_Top_Category_List,Raw_Front_Category_List,double_entry,final_top_class
0,IND0041201020240101411,20_10_2024_19_28_05,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
1,IND0041201020240100594,20_10_2024_10_08_11,Not_Found,hywa,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['hywa', 'hywa', 'hywa']",No,mining_full
2,IND0041201020240100360,20_10_2024_07_28_45,covered,truck,1,4,True,"['covered', 'covered', 'covered']","['truck', 'truck', 'truck']",No,covered
3,IND0041201020240101492,20_10_2024_20_23_53,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
4,IND0041201020240101442,20_10_2024_19_54_26,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
5,IND0041201020240100803,20_10_2024_12_33_23,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,covered
6,IND0041201020240200691,20_10_2024_18_05_53,Not_Found,mini_truck,2,3,True,"['Not_Found', 'Not_Found']","['mini_truck', 'mini_truck']",No,non_mining
7,IND0041201020240101428,20_10_2024_19_41_11,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_empty
8,IND0041201020240101073,20_10_2024_15_28_11,non_mining,truck,1,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
9,IND0041201020240101685,20_10_2024_23_03_51,Not_Found,truck,1,3,False,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck']",No,covered
10,IND0041201020240100437,20_10_2024_08_26_51,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
11,IND0041201020240200339,20_10_2024_09_03_30,non_mining,truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['truck', 'truck', 'truck']",No,non_mining
12,IND0041201020240100778,20_10_2024_12_23_04,covered,truck,1,4,True,"['Not_Found', 'covered', 'covered']","['truck', 'truck', 'truck']",No,covered
13,IND0041201020240101575,20_10_2024_21_26_23,Not_Found,hywa,1,1,False,['Not_Found'],['hywa'],Yes,mining_full
14,IND0041201020240100044,20_10_2024_00_42_19,Not_Found,truck,1,1,False,['Not_Found'],['truck'],Yes,mining_full
15,IND0041201020240101679,20_10_2024_22_58_07,Not_Found,truck,1,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,mining_full
16,IND0041201020240200531,20_10_2024_13_37_51,Not_Found,truck,2,4,True,"['Not_Found', 'Not_Found', 'Not_Found']","['truck', 'truck', 'truck']",No,Not_Found
17,IND0041201020240200640,20_10_2024_16_53_48,non_mining,mini_truck,2,4,True,"['non_mining', 'non_mining', 'non_mining']","['mini_truck', 'mini_truck', 'mini_truck']",No,non_mining
