,transaction_id,request_raw,transactionId,datetime,vehicleno,raw_vehicleno,top_class_name,front_class_name,front_class_name_top_camera,top_class_name_top_camera,final_front_class,final_top_class,lane_id,manual_check_reg,ANPR_frames_process,machineId,colour,material,quantity,rfid,response,status_code,statusMessage,LogID,Message
0,IND0041131120240100002,Found,IND0041131120240100002,13_11_2024_00_22_46,RJ17GC6761,RJ17GC6761,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,4.0,41.0,Not_Found,Stone_crush_powder,95.0,,Found,409,Error while adding record!,0.0,
1,IND0041131120240100003,Found,IND0041131120240100003,13_11_2024_00_24_17,RP05G7053,RP05G7053,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,,4.0,41.0,Not_Found,Brown_Sand,98.0,,Found,200,Data Saved Successfully!,519006.0,Success
2,IND0041131120240100004,Found,IND0041131120240100004,13_11_2024_00_25_57,,20241113002342,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
3,IND0041131120240100005,Found,IND0041131120240100005,13_11_2024_00_27_28,,20241113002513,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
4,IND0041131120240100006,Found,IND0041131120240100006,13_11_2024_00_27_55,,20241113002540,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,1.0,41.0,White,Sand,99.0,,Found,409,Record is not added as there is already a record with same TransactionId IND0041131120240100006 .,519001.0,Duplicate TransactionId
5,IND0041131120240100007,Found,IND0041131120240100007,13_11_2024_00_28_31,,20241113002616,Not_Found,hywa,hywa,mining_full,hywa,mining_full,1.0,2,4.0,41.0,White,Brown_Sand,100.0,,Found,200,Data Saved Successfully!,518930.0,Success
6,IND0041131120240100008,Found,IND0041131120240100008,13_11_2024_00_28_59,,20241113002644,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,1.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
7,IND0041131120240100009,Found,IND0041131120240100009,13_11_2024_00_29_10,,20241113002655,non_mining,mini_truck,mini_truck,non_mining,mini_truck,non_mining,1.0,2,2.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
8,IND0041131120240100010,Found,IND0041131120240100010,13_11_2024_00_29_53,,20241113002738,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,1.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
9,IND0041131120240100011,Found,IND0041131120240100011,13_11_2024_00_30_42,,20241113002827,Not_Found,truck,truck,non_mining,truck,non_mining,1.0,2,4.0,41.0,White,,0.0,,Found,200,Non Mining Vehicle or not mining full,-1.0,-1
